           #Qpath      Energy(meV)           S(Q,E)
  0.0000000000E+00  6.1353383459E+00  9.9999997474E-06
  0.0000000000E+00  6.1654135338E+00  9.9999997474E-06
  0.0000000000E+00  6.1954887218E+00  9.9999997474E-06
  0.0000000000E+00  6.2255639098E+00  9.9999997474E-06
  0.0000000000E+00  6.2556390977E+00  9.9999997474E-06
  0.0000000000E+00  6.2857142857E+00  9.9999997474E-06
  0.0000000000E+00  6.3157894737E+00  9.9999997474E-06
  0.0000000000E+00  6.3458646617E+00  9.9999997474E-06
  0.0000000000E+00  6.3759398496E+00  9.9999997474E-06
  0.0000000000E+00  6.4060150376E+00  9.9999997474E-06
  0.0000000000E+00  6.4360902256E+00  9.9999997474E-06
  0.0000000000E+00  6.4661654135E+00  9.9999997474E-06
  0.0000000000E+00  6.4962406015E+00  9.9999997474E-06
  0.0000000000E+00  6.5263157895E+00  9.9999997474E-06
  0.0000000000E+00  6.5563909774E+00  9.9999997474E-06
  0.0000000000E+00  6.5864661654E+00  9.9999997474E-06
  0.0000000000E+00  6.6165413534E+00  9.9999997474E-06
  0.0000000000E+00  6.6466165414E+00  9.9999997474E-06
  0.0000000000E+00  6.6766917293E+00  9.9999997474E-06
  0.0000000000E+00  6.7067669173E+00  9.9999997474E-06
  0.0000000000E+00  6.7368421053E+00  9.9999997474E-06
  0.0000000000E+00  6.7669172932E+00  9.9999997474E-06
  0.0000000000E+00  6.7969924812E+00  9.9999997474E-06
  0.0000000000E+00  6.8270676692E+00  9.9999997474E-06
  0.0000000000E+00  6.8571428571E+00  9.9999997474E-06
  0.0000000000E+00  6.8872180451E+00  9.9999997474E-06
  0.0000000000E+00  6.9172932331E+00  9.9999997474E-06
  0.0000000000E+00  6.9473684211E+00  9.9999997474E-06
  0.0000000000E+00  6.9774436090E+00  9.9999997474E-06
  0.0000000000E+00  7.0075187970E+00  9.9999997474E-06
  0.0000000000E+00  7.0375939850E+00  9.9999997474E-06
  0.0000000000E+00  7.0676691729E+00  9.9999997474E-06
  0.0000000000E+00  7.0977443609E+00  9.9999997474E-06
  0.0000000000E+00  7.1278195489E+00  9.9999997474E-06
  0.0000000000E+00  7.1578947368E+00  9.9999997474E-06
  0.0000000000E+00  7.1879699248E+00  9.9999997474E-06
  0.0000000000E+00  7.2180451128E+00  9.9999997474E-06
  0.0000000000E+00  7.2481203008E+00  9.9999997474E-06
  0.0000000000E+00  7.2781954887E+00  9.9999997474E-06
  0.0000000000E+00  7.3082706767E+00  9.9999997474E-06
  0.0000000000E+00  7.3383458647E+00  9.9999997474E-06
  0.0000000000E+00  7.3684210526E+00  9.9999997474E-06
  0.0000000000E+00  7.3984962406E+00  9.9999997474E-06
  0.0000000000E+00  7.4285714286E+00  9.9999997474E-06
  0.0000000000E+00  7.4586466165E+00  9.9999997474E-06
  0.0000000000E+00  7.4887218045E+00  9.9999997474E-06
  0.0000000000E+00  7.5187969925E+00  9.9999997474E-06
  0.0000000000E+00  7.5488721805E+00  9.9999997474E-06
  0.0000000000E+00  7.5789473684E+00  9.9999997474E-06
  0.0000000000E+00  7.6090225564E+00  9.9999997474E-06
  0.0000000000E+00  7.6390977444E+00  9.9999997474E-06
  0.0000000000E+00  7.6691729323E+00  9.9999997474E-06
  0.0000000000E+00  7.6992481203E+00  9.9999997474E-06
  0.0000000000E+00  7.7293233083E+00  9.9999997474E-06
